Conference Name,Conference Series,Link,Categories,When,Where,Submission Deadline,Notification Due,Final Version Due,Abstract Registration Due
 ProjMAN  2013 : International Conference on Project MANagement,N/A,http://centeris.eiswatch.org/index.php?p=projman,['project management'],"Oct 23, 2013 - Oct 25, 2013","Lisbon, Portugal","May 25, 2013","Jun 10, 2013","Jun 28, 2013",
 IJSRN Vol 1 Iss 3  2013 : International Journal of Sensor and Related Networks,N/A,http://www.ijsrn.info,"['sensor', 'networks', 'wireless sensor networks', 'sensor systems']",N/A,N/A,"May 22, 2013","May 30, 2013","Jun 7, 2013",
 IJETSP Vol 1 Iss   2013 : International Journal of Emerging Trends in Signal Processing,N/A,http://www.ijetsp.info,"['signal processing', 'fpga/asic/soc design', 'filtering', 'communication']",N/A,N/A,"May 5, 2013","May 17, 2013","May 25, 2013",
 IJIPVC Volume 1 Issue 6  2013 : International Journal of Image Processing and Visual Communication,N/A,http://www.ijipvc.org,"['image processing', 'visual communication', 'imaging technology', 'encryption and data security']",N/A,N/A,"May 25, 2013","Jun 5, 2013",,
 WFLP  2013 : International Workshop on Functional and (Constraint) Logic Programming,Workshop on Functional and Constraint Logic Programming,http://www-ps.informatik.uni-kiel.de/wflp2013/,[],"Sep 11, 2013 - Sep 13, 2013","Kiel, Germany","Jun 16, 2013","Jul 18, 2013","Aug 18, 2013",
 CPP  2013 : Certified Programs and Proofs,N/A,http://cpp2013.forge.nicta.com.au/,"['formal verification', 'mechanized verification']","Dec 9, 2013 - Dec 11, 2013","Melbourne, Australia","Jun 7, 2013",,,"May 30, 2013"
 FOPARA  2013 : 3RD INTERNATIONAL WORKSHOP ON FOUNDATIONAL AND PRACTICAL ASPECTS OF RESOURCE ANALYSIS,Foundational and Practical Aspects of Resource Analysis,http://fopara2013.cs.unibo.it,['resource analysis'],"Aug 29, 2013 - Aug 31, 2013","Bertinoro, Italy","Jun 3, 2013","Jun 21, 2013","Jul 5, 2013",
 ACM MM MIIRH  2013 : ACM MM Multimedia Indexing and Information Retrieval,N/A,http://mklab.iti.gr/miirh/,"['computer vision', 'multimedia', 'ehealth']","Oct 22, 2013 - Oct 22, 2013","Barcelona, Spain","Jun 28, 2013","Jul 15, 2013","Jul 29, 2013",
 ICME  2013 : 4th International Conference on Mechanical and Manufacturing Engineering (ICME2013) ,N/A,http://fkmp.uthm.edu.my/icme2013,"['manufacturing', 'mechanical', 'control', 'AERONAUTICAL']","Dec 17, 2013 - Dec 19, 2013","Equatorial Hotel, Bangi- Putrajaya","Jul 20, 2013","Aug 1, 2013","Aug 10, 2013",
" ICAMDM  2013 : 2nd ICAMDM2013 extends the deadline for submission to Apr.15, 2013",N/A,http://www.icamdm.org,"['advance materials design', 'mechanics', 'engineering index']","May 17, 2013 - May 18, 2013",Kuala Lumpur,"Apr 15, 2013","Apr 20, 2013","Apr 25, 2013",
 GSCL  2013 : GSCL 2013 - FINAL Call for Papers,N/A,http://gscl2013.ukp.informatik.tu-darmstadt.de/  ,"['NLP', 'web', 'semantic web']","Sep 25, 2013 - Sep 27, 2013","Darmstadt, Germany","Apr 12, 2013","May 10, 2013","Jun 7, 2013",
 Complex Networks  2013 : Complex Networks 2013 : International Workshop on Complex Networks and their Applications,N/A,http://www.complexnetworks.org/,"['complex networks', 'social networks', 'network science', 'web science']","Dec 2, 2013 - Dec 5, 2013",kyoto Japan,"Sep 23, 2013","Oct 19, 2013","Oct 27, 2013",
 ICCECA  2013 : International Conference on Competitiveness Evaluation and Conceptual Aspects,N/A,http://centrumwebs.pucp.edu.pe/icceca/index.php,"['business', 'COMPETITIVENESS', 'economy', 'sectorial']","Aug 27, 2013 - Aug 29, 2013",Lima,"Jul 31, 2013","Jun 15, 2013","Jul 31, 2013","Jun 15, 2013"
" Mediterranean Studies  2014 : 7th Annual International Conference on Mediterranean Studies, 14-17 April 2014, Athens, Greece",N/A,http://www.atiner.gr/mediterranean.htm,[],"Apr 14, 2014 - Apr 17, 2014","Athens, Greece","Mar 3, 2014",,,
 ICAM AR  2013 : 2013 International Conference on Applied Mechatronics and Android Robotics (ICAMAR2013),N/A,http://www.icamar2013.org,"['applied mechatronic', 'android robotics', 'engineering index']","Jul 13, 2013 - Jul 14, 2013",Taipei,"Jun 15, 2013","Jun 20, 2013","Jul 5, 2013",
 ICHOT  2013 :  International Conference on Hospitality & Tourism Marketing - 2013,N/A,http://tourismconference.co/,"['tourism & hospitality', 'conference on tourism', 'international conference 2013', 'destination branding']","Oct 28, 2013 - Oct 29, 2013",Cinnamon Grand Colombo,"Jun 30, 2013",,,"Aug 31, 2013"
 APLAS  2013 : Asian Symposium on Programming Languages and Systems,Asian Symposium on Programming Languages and Systems,http://aplas2013.soic.indiana.edu/,[],"Dec 9, 2013 - Dec 11, 2013","Melbourne, Australia","Jun 14, 2013","Aug 26, 2013","Sep 19, 2013","Jun 10, 2013"
" ATSE  2013 : The Fourth Workshop on Automated Test Case Design, Selection and Evaluation",N/A,http://2013.fedcsis.org/atse,"['software testing', 'testing']","Sep 8, 2013 - Sep 11, 2013","Krakow, Poland","May 12, 2013","Jun 17, 2013",,
" Demography and Population Studies  2015 : 2nd Annual International Conference on Demography and Population Studies, 15-18 June 2015, Athens, Greece ",N/A,http://www.atiner.gr/demography.htm,[],"Jun 15, 2015 - Jun 18, 2015","Athens, Greece","Nov 17, 2014",,,
" Demography and Population Studies  2014 : 1st Annual International Conference on Demography and Population Studies, 16-19 June 2014, Athens, Greece",N/A,N/A,[],"Jun 16, 2014 - Jun 19, 2014","Athens, Greece","Feb 17, 2014",,,
 ASON  2013 : 6th International Workshop on Autonomous Self-Organizing Networks,N/A,http://is-candar.org/ason13,"['computer science', 'networking', 'communications', 'software engineering']","Dec 4, 2013 - Dec 6, 2013","Matsuyama, Japan","Aug 19, 2013","Sep 10, 2013","Sep 20, 2013","Aug 13, 2013"
 AFCA  2013 : 1st International Workshop on Applications and Fundamentals of Cellular Automata,N/A,http://is-candar.org/afca13,"['computer science', 'complexity', 'algorithms', 'theoretical computer science']","Dec 4, 2013 - Dec 6, 2013","Matsuyama, Japan","Aug 19, 2013","Sep 10, 2013","Sep 20, 2013","Aug 13, 2013"
 DSN  2013 : The 43rd Annual IEEE/IFIP International Conference on Dependable Systems and Networks,Dependable Systems and Networks,http://2013.dsn.org/,[],"Jul 24, 2013 - Jul 27, 2013",Budapest Hungary,"Dec 5, 2012",,,"Nov 28, 2012"
" SoftCOM  2013 : 21th International Conference on Software, Telecommunications and Computer Networks ",N/A,http://marjan.fesb.hr/SoftCOM/2013/index.html,[],"Sep 18, 2013 - Sep 20, 2013",Split-Primosten,"May 15, 2013","Jul 5, 2013",,
 WPTP  2013 : MT Summit XIV Workshop on Post-editing Technology and Practice,N/A,https://sites.google.com/site/mts2013wptp/,"['NLP', 'machine translation']","Sep 2, 2013 - Sep 2, 2013","Nice, France","May 17, 2013","Jun 14, 2013","Jun 28, 2013",
 ENC  2013 : Mexican International Conference on Computer Science,Mexican International Conference on Computer Science,http://fismat.umich.mx/enc2013/ENC_2013/Welcome.html,[],"Oct 30, 2013 - Oct 31, 2013","Morelia, Michoacan MEXICO","Jun 3, 2013","Jul 1, 2013","Jul 19, 2013",
 HPTS  2013 : 15th International Workshop  on High Performance Transaction Systems (HPTS),High Performance Transaction Systems Workshop,http://hpts.ws/,[],"Sep 22, 2013 - Sep 25, 2013",Pacific Grove,"Mar 18, 2013","May 24, 2013",,
" SCPE SI June  2013 : Scalable Computing: Practice and Experience SI on Multi-agent Systems: Methodologies, Tools and Applications",N/A,http://www.scpe.org/index.php/scpe/pages/view/CallForPapers,"['multi agent systems', 'artificial intelligence', 'autonomous systems']",N/A,N/A,"May 24, 2013","Jun 14, 2013","Jun 28, 2013",
 WSMT  2013 : Workshop on Statistical Machine Translation,N/A,http://statmt.org/wmt13/,"['NLP', 'SMT']","Aug 8, 2013 - Aug 9, 2013","Sofia, Bulgaria","Jun 7, 2013","Jun 24, 2013","Jul 5, 2013",
 IJCNLP System Demonstrations  2013 : IJCNLP System Demonstrations,N/A,N/A,['NLP'],N/A,N/A,"May 24, 2013",,,
 FROG  2013 : Future and Reality of Gaming 2013,N/A,http://bupp.at/en/service-en/frog/frog-2013/,[],"Sep 27, 2013 - Sep 28, 2013","Vienna, Austria","May 25, 2013","Jun 20, 2013","Oct 21, 2013",
 NOMS  2014 : The 14th IEEE/IFIP Network Operations and Management Symposium ,Network Operations and Management Symposium,http://www.ieee-noms.org/,[],"May 5, 2014 - May 9, 2014","Radisson Park Inn, Krakow, POLAND","Aug 15, 2013","Oct 31, 2013","Jan 15, 2014",
 MOBIWAC  2013 : The 11th ACM* International Symposium on Mobility Management and Wireless Access,Mobility Management and Wireless Access,http://adscom.it.uc3m.es/mobiwac/,"['communications', 'networking', 'wireless', 'mobility']","Nov 3, 2013 - Nov 8, 2013","Barcelona, Spain","Jun 10, 2013","Jul 10, 2013",,"Jun 3, 2013"
 ICETM 2013  CALL FOR PAPERS    2013 : 2ndInternational Conference on   Emerging Trends in Management  ,N/A,http://www.jinnah.edu.pk/ICETM2013,[],"Jun 6, 2013 - Jun 6, 2013",mohammad ali jinnah university islamabad,"Apr 15, 2013","May 15, 2013",,"May 1, 2013"
 CLIMA XIV  2013 : 14th International Workshop on Computational Logic in Multi-Agent Systems,N/A,http://centria.di.fct.unl.pt/events/climaXIV/,"['logic programming', 'artificial intelligence', 'multi-agent systems', 'argumentation']","Sep 16, 2013 - Sep 17, 2013","Corunna, Spain","Jun 10, 2013","Jun 24, 2013","Jul 4, 2013","Jun 6, 2013"
 irpesd  2014 : Call for Chapters: Industry and Research Perspectives on Embedded System Design,N/A,https://sites.google.com/a/softeam-rd.eu/book/-call-for-chapters,"['computer science', 'embedded systems', 'embedded systems design', 'real-time and embedded sw']","Mar 31, 2014 - Mar 31, 2014",Call for Chapters,"May 30, 2013","Jun 15, 2013","Sep 30, 2013",
" ccube  2013 : International Conference on Circuits Control and Communication (C3– 2013),",N/A,http://www.ccube2013.com,"['engineering', 'circuits', 'communication', 'control']","Dec 27, 2013 - Dec 28, 2013","Bangalore,India","Jun 1, 2013","Oct 1, 2013","Nov 1, 2013",
" TRACES  2013 : TRACES - Interdisciplinary Conference, 14 June 2013 [Deadline 30 April 2013]",N/A,N/A,"['literature', 'interdisciplinary', 'humanities', 'critical theory']","Jun 14, 2013 - Jun 14, 2013","London, UK","Apr 30, 2013","May 15, 2013",,
" ASTSA  2013 : The Fourth International Workshop on Advances in Sensor Technologies, Systems & Applications ",N/A,https://sites.google.com/site/astsa2013/,"['sensor networks', 'cognitive radio sensor network', 'sensing technology', 'wireless sensors']","Oct 28, 2013 - Oct 30, 2013",France,"Jun 15, 2013","Jun 30, 2013","Jul 19, 2013",
 HVC  2013 : HVC 2013 - Ninth Haifa Verification Conference,Haifa Verification Conference,http://www.research.ibm.com/haifa/conferences/hvc2013/,[],"Nov 5, 2013 - Nov 7, 2013","Haifa, Israel","Jul 30, 2013","Aug 25, 2013","Sep 5, 2013",
 DIFTS  2013 : DESIGN and IMPLEMENTATION of FORMAL TOOLS and SYSTEMS,N/A,http://www.cmpe.boun.edu.tr/difts13/,"['formal tools', 'verification', 'testing', 'debugging']","Oct 19, 2013 - Oct 19, 2013","Portland, OR, USA","Jul 24, 2013","Aug 24, 2013",,
 ICE-SEAM  2013 : 3rd International Conference and Exhibition on Sustainable Energy and Advanced Material,N/A,http://www.utem.edu.my/ice-seam2013,"['engineering', 'mechanical', 'materials', 'energy']","Oct 30, 2013 - Oct 31, 2013","Industrial Campus, UTeM","Jun 14, 2013","Aug 5, 2013","Sep 2, 2013",
 CoopIS  2013 : International Conference on COOPERATIVE INFORMATION SYSTEMS,Cooperative Information Systems,http://www.onthemove-conferences.org/index.php/coopis13,"['is', 'process management']","Sep 11, 2013 - Sep 13, 2013","Graz, Austria","May 11, 2013","Jun 25, 2013",,"May 4, 2013"
 ASCoMS  2013 : Workshop on Architecting Safety in Collaborative Mobile Systems,N/A,http://conf.laas.fr/SAFECOMP2013/?q=node/29,"['architectural design', 'functional safety', 'reliable perception', 'guidelines and standards']","Sep 25, 2013 - Sep 25, 2013","Toulouse, France","May 21, 2013","Jun 12, 2013","Jun 21, 2013",
 Spartacus  2013 : Starz television’s Spartacus series,N/A,N/A,[],N/A,N/A,"Dec 1, 2013",,,"Aug 15, 2013"
 ccube  2013 : International Conference on Circuits Control and Communication ,N/A,http://www.ccube2013.com,"['engineering', 'circuits', 'communication', 'wireless']","Dec 27, 2013 - Dec 28, 2013",Bangalore,"Jun 1, 2013","Oct 1, 2013","Nov 1, 2013",
 ICWSS2013  2013 : 2013 International Workshop on Computer Science in Sports( ICWSS2013),N/A,http://www.iwcss-conf.org/,"['sports science', 'computer science', 'computer science in sports', 'education']","Aug 1, 2013 - Aug 2, 2013",Wuhan,"May 30, 2013","May 30, 2013","Jun 15, 2013","May 15, 2013"
 JVRC  2013 : Joint Virtual Reality Conference,N/A,http://jvrc2013.sciencesconf.org/resource/page/id/1,"['animation', 'games', 'virtual reality', 'graphics']","Dec 11, 2013 - Dec 13, 2013","Paris, France","Jul 26, 2013","Oct 4, 2013","Nov 1, 2013","Jul 19, 2013"
 Cases Persuasive Games  2013 : Call for Cases on Societal Effects of Persuasive Games,N/A,http://www.igi-global.com/publish/call-for-papers/call-details/984,"['games', 'learning', 'education', 'training']","Apr 1, 2013 - Jun 15, 2013",N/A,"Jun 15, 2013",,,
" BEMM  2013 : International Conference on Business, Economics, Marketing & Management Research",N/A,http://cier-pub.com/BEMM'13.html,[],"Nov 24, 2013 - Nov 26, 2013","Sousse, Tunisia","Oct 20, 2013","Nov 1, 2013","Nov 10, 2013",
 OSR  2013 : Operating Systems Review ,N/A,http://www.sigops.org/osr.html,[],N/A,N/A,TBD,,,
 DS-RAIT  2013 : Doctoral Symposium on Recent Advances in Information Technology,N/A,"http://fedcsis.org/ds-rait , ","['automatic control and robotics', 'data mining and data visualiza', 'software engineering', 'computational intelligence']","Sep 8, 2013 - Sep 11, 2013",Cracow (Poland),"May 12, 2013",,,
 WDL  2013 : World Digital Libraries: International Journal (WDL) announces Call for Papers,N/A,http://bookstore.teriin.org/journal_inside.php?material_id=477,[],N/A,N/A,"Jul 20, 2013","Aug 20, 2013",,"Jun 20, 2013"
 SJoP  2013 : The Scottish Journal of Performance,N/A,http://www.scottishjournalofperformance.org/,"['theatre', 'drama', 'DANCE', 'music']","Apr 4, 2013 - Dec 10, 2013",Scotland,"Jun 28, 2013",,,
 NCBM  2013 : National Conference on Biomechanics,N/A,http://rdutta.50megs.com/NCBM-2013.pdf,"['biotechnology', 'physics', 'engineering']","May 4, 2013 - May 5, 2013",Dehradun,"Apr 20, 2013","Apr 25, 2013",,
 AusDM  2013 : The 11th Australasian Data Mining Conference ,Australasian Data Mining Conference,http://ausdm13.togaware.com,"['data mining', 'machine learning', 'computer science']","Nov 13, 2013 - Nov 15, 2013","Canberra, Australia","Jul 15, 2013","Sep 1, 2013","Oct 1, 2013",
 CASCON  2013 : 23rd Annual International Conference on Computer Science and Software Engineering,Conference of the Centre for Advanced Studies on Collaborative Research,http://www.ibm.com/ibm/cas/cascon,"['software engineering', 'computer science', 'big data', 'web and cloud']","Nov 18, 2013 - Nov 20, 2013","Markham, Ontario, Canada","Jun 21, 2013","Jul 29, 2013","Aug 23, 2013","Jun 14, 2013"
 VRST  2013 : ACM Symposium on Virtual Reality Software and Technology (VRST),Virtual Reality Software and Technology,http://conference.ntu.edu.sg/vrst2013/Pages/ImportantDates.aspx,"['virtual reality', 'graphics', 'animation', 'games']","Oct 6, 2013 - Oct 9, 2013",Singapore,"May 25, 2013","Jun 10, 2013","Jun 20, 2013",
" Technical Book  2013 : ‘’Advances in Data, Methods, Models and Their Applications in Oil/Gas Exploration’’",N/A,N/A,"['oil/ gas', 'exploration', 'GEOSCIENCES', 'methods']",N/A,N/A,"Aug 1, 2013","Aug 31, 2013",,
 SPSM  2013 : 3rd Annual ACM CCS Workshop on Security and Privacy in Smartphones and Mobile Devices,N/A,http://www.spsm-workshop.org/2013/,"['security', 'smartphones', 'mobile']","Nov 8, 2013 - Nov 8, 2013","Berlin, Germany","Jul 22, 2013","Aug 15, 2013","Aug 30, 2013",
 WABI  2013 : 13th Workshop on Algorithms in Bioinformatics,Workshop on Algorithms in Bioinformatics,http://algo2013.inria.fr/wabi.shtml,[],"Sep 2, 2013 - Sep 4, 2013","Nice, France, EU","May 17, 2013","Jun 14, 2013","Jun 24, 2013",
 Bioinsp  2013 : The International Workshop on Data Mining Application in Biologically Inspired Databases (Bioinsp’ 2013),N/A,http://bioinsp.tk/,[],"Jul 1, 2013 - Jul 4, 2013","Genoa,Italy","Apr 20, 2013","May 10, 2013","May 30, 2013",
 AIT  2013 : National Research Initiatives Conference (NaRIC) 2013,N/A,http://www.naric.us,[],"Jul 9, 2013 - Jul 11, 2013",ACCRA,"Apr 30, 2013","May 20, 2013",,
 SSE  2013 : 5th International Workshop on Social Software Engineering,N/A,http://socialse.org,"['software engineering', 'social computing', 'social software', 'social network sites']","Aug 18, 2013 - Aug 18, 2013","Saint Petersburg, Russia","Jun 2, 2013","Jun 21, 2013","Jun 28, 2013",
 ICTAI  2013 : IEEE International Conference on Tools with Artificial Intelligence,International Conference on Tools with Artificial Intelligence,http://www.cs.wright.edu/atrc/ictai13/,[],"Nov 4, 2013 - Nov 6, 2013",Washington,"Jul 12, 2013","Aug 8, 2013","Aug 20, 2013",
 ICT Convergence  2013 : International Conference on ICT Convergence,N/A,http://www.ictc2013.org,[],"Oct 14, 2013 - Oct 16, 2013",Jeju Island,"Jul 5, 2013","Aug 23, 2013","Sep 6, 2013",
 JBTBD  2013 : Special Issue Invitation - Bioterrorism: Biological weapons,N/A,N/A,[],N/A,N/A,TBD,,,
 JMBT  2013 : Special Issue Invitation - Molecular Diagnosis and Detection Technology,N/A,N/A,[],N/A,N/A,TBD,,,
" CAPCOM  2013 : Context Awareness, Pervasive COmputing, and Mobility",N/A,http://iccasa.org/2013,"['computer science', 'computational intelligence']","Nov 25, 2013 - Nov 26, 2013","Phu Quoc, Vietnam","Jul 31, 2013","Aug 31, 2013","Oct 1, 2013",
 VARE  2013 : International Conference on Virtual and Augmented Reality in Education,N/A,http://eventos.ull.es/vare2013/,[],"Nov 7, 2013 - Nov 8, 2013","Puerto de la Cruz, Spain","Jun 1, 2013","Jul 1, 2013","Aug 15, 2013",
 TIA  2013 : Terminology and Artificial Intelligence TIA 2013,N/A,http://flores.lipn.univ-paris13.fr/tia2013/,['NLP'],"Oct 28, 2013 - Oct 29, 2013","Paris, France","Jun 28, 2013","Sep 3, 2013","Sep 23, 2013","Jun 21, 2013"
" MARS  2013 : National Conference on Microwaves, Antennas & Remote Sensing ",N/A,http://www.ncmars.in,"['microwave', 'antennas', 'remote sensing', 'communication']","Jun 7, 2013 - Jun 8, 2013",Dehradun,"May 15, 2013","May 18, 2013","May 25, 2013","May 25, 2013"
 Bioterrorism & Biodefense  2013 : Journal of Bioterrorism & Biodefense,N/A,http://www.omicsonline.org/jbtbdhome.php,[],N/A,N/A,TBD,,,
 JGL  2013 : Call for Paper Invitation - Journal of Glycomics & Lipidomics,N/A,N/A,[],N/A,N/A,TBD,,,
 ICSC-SMM  2013 : The 2nd IEEE International Workshop on Semantic Multimedia,N/A,http://rvc.eng.miami.edu/icsc-smm13/index.html,"['multimedia', 'data mining', 'semantic web', 'semantics']","Sep 16, 2013 - Sep 18, 2013","Irvine, California, USA","Jun 14, 2013","Jun 28, 2013","Jul 10, 2013",
" IntelSys  2013 : The 2013  International Conference on  Advances in Intelligent Systems in Bioinformatics, Chem-Informatics, Business Intelligence, Social Media and Cybernetics ",N/A,http://www.intelisys.org/,"['artificia intelligence', 'bioinfoirmatics', 'chemistry', 'robotics']","Oct 11, 2013 - Oct 13, 2013",Jakarta,TBD,,,
 AAIA  2013 : 8th International Symposium Advances in Artificial Intelligence and Applications,N/A,http://fedcsis.org/aaia,"['artificial intelligence', 'machine learning', 'pattern recognition', 'data mining']","Sep 8, 2013 - Sep 11, 2013","Cracow, Poland","May 12, 2013","Jun 17, 2013","Jul 8, 2013",
" SACIR  2013 : The 2013 International Conferences on Socio-Cultural, Anthropology, Criminology and International Relations",N/A,http://www.socioculturerelation.org/,"['social siences', 'psychology', 'law', 'art design']","Oct 14, 2013 - Oct 16, 2013",Jakarta,TBD,,,
 ICIBSoS  2013 :  International Congress on Interdisciplinary Behavior and Social Sciences 2013 ,N/A,http://icibsos.org/home.html,"['social siences', 'sociology', 'psychology', 'education']","Nov 4, 2013 - Nov 5, 2013",Jakarta,TBD,,,
" BioMedPub  2013 : The Annual International Conference on  Science and Engineering in Biology, Medical and Public Health",N/A,http://www.biomedpub.org/,"['medical', 'biomedical', 'biology', 'engineering']","Aug 16, 2013 - Aug 18, 2013",Jakarta,TBD,,,
" KINEMATICS  2013 : The 2013 International Conference on  Kinematics, Mechanics of Rigid Bodies, and Materials ",N/A,http://mechkinematics.org/,"['engineering', 'physics', 'technology', 'social sciences']","Nov 2, 2013 - Nov 4, 2013",Jakarta,TBD,,,
 ASC  2013 : Annual Meeting of the American Society for Cybernetics: Acting - Learning - Understanding,N/A,http://asc-cybernetics.org/2013/,"['cybernetics', 'acting', 'learning', 'understanding']","Jul 28, 2013 - Aug 3, 2013","Bolton, UK","Jun 28, 2013",,,"May 31, 2013"
" AeroEarth  2013 : The 2013 International Conferences on Geological, Geographical, Aerospaces  and Earth Sciences",N/A,http://www.aeroearth.org/,"['geological', 'geography', 'forestry', 'agriculture']","Dec 22, 2013 - Dec 23, 2013",Jakarta,TBD,,,
" VisioGame  2013 : The 2013 International Conferences on Computer Graphics, Visualization, Computer Vision, and Game Technology ",N/A,http://graphgame.org/,"['game', 'computer graphics']","Dec 20, 2012 - Dec 22, 2013",Jakarta,TBD,,,
 LSDVE  2013 : First Workshop on  Large Scale Distributed Virtual Environments on Clouds and P2P held in conjunction with EUROPAR 2013,N/A,http://www.di.unipi.it/~ricci/LSDVE.html,"['computer science', 'communications', 'networking', 'cloud']","Aug 27, 2013 - Aug 27, 2013",Aachen,"Jun 10, 2013","Jul 8, 2013","Oct 3, 2013",
" RIGiM  2013 : Requirements, Intentions and Goals in Conceptual Modeling","Requirements, Intentions and Goals in Conceptual Modeling",https://sites.google.com/site/rigimworkshop13/,"['requirements modeling', 'intentional', 'goal-oriented', 'software engineering']","Nov 11, 2013 - Nov 13, 2013",Hong Kong,"May 20, 2013","Jun 17, 2013","Jul 1, 2013",
 RNDM  2013 : 5th International Workshop on Reliable Networks Design and Modeling,N/A,http://www.rndm.pl,"['communications', 'networking', 'computer science', 'reliability']","Sep 10, 2013 - Sep 13, 2013","Almaty, Kazakhstan","Apr 25, 2013","Jun 15, 2013","Jul 1, 2013",
 ICITEE  2013 : The 5th International Conference on Information Technology and Electrical Engineering,N/A,http://icitee2013.te.ugm.ac.id/,"['electrical engineering', 'information technology', 'intelligent systems', 'green technologies']","Oct 7, 2013 - Oct 8, 2013","Yogyakarta, Indonesia","Jun 3, 2013","Jul 3, 2013","Aug 19, 2013",
 IJCTCM  2014 : International Journal of Control Theory and Computer Modeling ,N/A,http://airccse.org/journal/ijctcm/ijctcm.html,"['engineering', 'control', 'computer', 'modeling']",N/A,N/A,"Apr 10, 2014","May 10, 2014","May 15, 2014",
 Indocrypt  2013 : 14th International Conference on Cryptology in India,International Conference on Cryptology in India,http://indocrypt.hbni.ac.in,"['cryptology', 'cryptography', 'cryptanalysis', 'security']","Dec 7, 2013 - Dec 10, 2013","Mumbai, India","Jun 14, 2013","Aug 26, 2013","Sep 9, 2013",
